,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Customer_Age,Years_Since_Enrollment
21,Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,Refuse,No,58,11
22,Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,Refuse,No,45,11
23,PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,Refuse,No,48,11
24,Graduation,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,Refuse,No,55,12
25,Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,Refuse,No,59,12
26,Graduation,Married,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,Refuse,No,68,12
28,PhD,Widow,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,Refuse,No,68,10
29,Graduation,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,Refuse,No,49,10
30,PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,Refuse,No,53,10
31,Graduation,Married,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,Refuse,No,38,10
32,PhD,Married,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,Refuse,No,52,10
33,PhD,Married,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,Accept,No,50,10
34,Graduation,Married,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,Refuse,No,34,11
35,PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,Accept,No,37,11
36,2n Cycle,Married,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,Refuse,No,40,11
37,Master,Divorced,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,Refuse,No,64,11
38,PhD,Single,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,Accept,No,63,11
39,Graduation,Married,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,Refuse,No,56,11
40,Graduation,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,Accept,No,52,11
41,PhD,Married,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,Refuse,No,69,11
42,2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,Accept,No,41,11
43,Graduation,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,Refuse,No,38,11
44,2n Cycle,Divorced,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,Accept,No,54,11
45,Graduation,Married,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,Accept,No,63,11
46,Graduation,Married,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,Refuse,No,51,11
47,Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,Refuse,No,59,12
48,Graduation,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,Accept,No,54,12
49,Graduation,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,Refuse,No,64,12
50,2n Cycle,Married,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,Accept,No,40,12
51,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,Refuse,No,70,12
52,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,Refuse,No,46,10
53,Graduation,Married,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,Accept,No,68,10
54,Basic,Married,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,Refuse,No,50,10
55,Graduation,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,Accept,No,72,10
56,Master,Married,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,Refuse,No,51,10
57,PhD,Married,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,Refuse,No,49,10
58,Graduation,Married,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,Refuse,No,62,10
59,Graduation,Married,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,Accept,No,60,10
60,Master,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,Refuse,No,42,11
61,Master,Married,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,Refuse,No,63,11
62,PhD,Single,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,Refuse,No,56,11
63,Master,Married,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,Refuse,No,47,11
64,Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,Accept,No,50,11
65,Graduation,Married,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,Accept,No,38,11
66,Master,Married,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,Refuse,No,68,11
67,2n Cycle,Married,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,Refuse,No,64,11
68,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,Accept,No,52,11
69,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,Refuse,No,52,11
70,PhD,Married,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,Accept,No,49,11
71,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,Refuse,No,62,11
72,Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,Refuse,No,47,12
73,Graduation,Single,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,Accept,No,54,12
74,Graduation,Married,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,Refuse,No,53,12
75,Graduation,Married,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,Refuse,No,59,12
76,Graduation,Widow,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,Accept,No,61,12
77,PhD,Married,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,Accept,No,48,12
78,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,Refuse,No,60,12
79,Graduation,Married,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,Refuse,No,77,12
80,Graduation,Married,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,Refuse,No,55,10
82,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,Accept,No,67,10
83,PhD,Married,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,Refuse,No,54,10
84,Graduation,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,Refuse,No,62,10
85,2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,Refuse,No,44,10
86,2n Cycle,Single,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,Refuse,No,37,10
87,Graduation,Married,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,Refuse,No,51,10
88,PhD,Married,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,Accept,No,79,11
89,Graduation,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,Refuse,No,40,11
90,Graduation,Married,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,Refuse,No,47,11
91,PhD,Married,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,Refuse,No,64,11
92,Graduation,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,Refuse,No,54,11
93,PhD,Married,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,Refuse,No,55,11
94,Graduation,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,Refuse,No,45,11
95,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,Refuse,No,62,11
97,Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,Accept,No,75,11
98,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,Refuse,No,44,11
99,PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,Accept,No,68,11
100,PhD,Single,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,Refuse,No,76,11
101,Graduation,Married,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,Accept,No,42,12
102,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,Accept,No,51,12
103,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,Refuse,No,51,12
104,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,Accept,No,51,12
105,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,Refuse,No,75,12
106,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,Accept,No,75,12
107,PhD,Married,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,Accept,No,59,12
108,PhD,Married,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,Refuse,No,34,12
109,2n Cycle,Married,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,Accept,No,44,10
110,Graduation,Married,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,Refuse,No,69,10
111,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,Refuse,No,54,10
112,Graduation,Married,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,Refuse,No,71,10
113,Graduation,Married,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,Accept,No,42,10
114,Master,Married,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,Refuse,No,49,11
115,Graduation,Married,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,Refuse,No,69,11
116,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,Accept,No,48,11
117,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,Refuse,No,48,11
118,Master,Married,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,Accept,No,75,11
119,Graduation,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,Refuse,No,56,11
120,Graduation,Married,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,Refuse,No,66,11
121,Graduation,Married,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,Refuse,No,62,11
122,Graduation,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,Refuse,No,46,11
124,Graduation,Married,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,Refuse,No,66,11
125,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,Refuse,No,66,11
126,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,Refuse,No,48,11
127,Master,Married,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,Refuse,No,53,11
128,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,Refuse,No,78,11
129,Graduation,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,Refuse,No,70,11
131,Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,Refuse,No,57,11
132,Graduation,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,Refuse,No,67,12
134,PhD,Married,52247.25135379061,2,1,4,230,42,192,49,37,53,12,7,2,8,9,Refuse,No,67,12
135,Graduation,Married,69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,Refuse,No,52,12
136,Graduation,Married,31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,Refuse,No,35,10
137,PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,Accept,No,37,10
138,2n Cycle,Married,30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,Refuse,No,37,11
139,Graduation,Married,21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,Accept,No,39,11
140,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,Refuse,No,55,11
141,2n Cycle,Married,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,Refuse,No,35,11
142,Graduation,Divorced,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,Accept,No,50,11
143,Graduation,Single,58350.0,0,1,5,493,26,206,116,80,80,4,8,3,12,6,Refuse,No,53,11
144,Graduation,Single,7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,Refuse,No,46,12
145,Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,Accept,No,40,12
146,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,Refuse,No,38,12
148,PhD,Divorced,41437.0,1,1,5,29,0,2,0,0,1,1,1,0,3,7,Refuse,No,67,12
149,Master,Married,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,Accept,No,75,12
151,Graduation,Married,79823.0,0,1,6,835,73,380,114,73,43,1,6,9,7,2,Refuse,No,65,10
152,Graduation,Divorced,85683.0,0,0,6,1296,17,311,45,69,51,1,2,4,10,1,Accept,No,70,10
153,PhD,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,Refuse,No,59,10
154,PhD,Married,68397.0,0,1,6,760,80,466,17,13,80,1,6,9,5,3,Refuse,No,48,11
155,PhD,Married,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,7,Refuse,No,40,11
156,Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,Refuse,No,52,11
158,Master,Married,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,Refuse,No,48,11
160,Graduation,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,Refuse,No,45,11
161,Graduation,Married,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,Refuse,No,59,11
163,Graduation,Married,70321.0,0,0,6,303,23,751,82,26,191,1,6,5,13,4,Accept,No,77,11
164,Graduation,Married,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,Refuse,No,62,11
165,Basic,Married,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,Refuse,No,34,12
166,PhD,Married,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,Refuse,No,55,12
167,PhD,Married,55424.0,0,1,6,462,61,184,10,53,107,4,7,5,9,6,Accept,No,48,12
168,Graduation,Married,49094.0,0,1,6,376,0,38,11,8,69,5,6,3,6,6,Refuse,No,51,12
169,2n Cycle,Widow,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,Refuse,No,63,12
170,Graduation,Married,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,Refuse,No,37,12
171,Master,Married,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,Refuse,No,64,12
172,2n Cycle,Single,31878.0,0,1,7,23,4,5,10,5,23,1,1,0,4,3,Refuse,No,47,10
173,Graduation,Single,83528.0,0,0,7,530,117,678,134,44,147,1,4,10,8,1,Accept,No,32,10
174,Graduation,Married,90300.0,0,0,7,594,134,786,33,134,57,0,5,6,8,1,Refuse,No,45,10
175,Master,Single,68092.0,0,0,7,852,60,207,78,36,48,2,2,6,10,5,Refuse,No,46,11
176,Master,Married,53761.0,1,1,7,158,0,76,13,7,71,6,4,4,3,5,Refuse,No,52,11
177,Graduation,Married,52845.0,1,0,7,384,25,292,130,41,64,3,8,8,6,6,Refuse,No,51,11
178,Graduation,Married,24027.0,1,0,7,14,7,11,11,0,5,2,2,0,3,8,Refuse,No,48,11
179,2n Cycle,Married,7500.0,1,0,7,2,8,11,3,8,21,4,3,2,2,7,Refuse,No,45,11
180,Graduation,Married,42586.0,1,1,7,194,2,56,0,0,0,5,4,1,6,8,Accept,No,69,12
182,Basic,Married,9722.0,1,0,7,6,17,16,6,16,42,4,3,1,3,8,Accept,No,51,12
183,PhD,Married,86836.0,0,0,7,179,21,273,0,21,63,1,6,10,6,5,Accept,No,49,12
184,Graduation,Married,30467.0,1,0,8,1,3,8,2,5,5,1,1,0,2,7,Refuse,No,52,10
185,PhD,Married,54549.0,0,1,8,216,2,6,0,0,9,2,5,1,4,7,Refuse,No,72,10
186,Graduation,Married,19444.0,1,0,8,16,0,23,3,2,10,3,4,1,2,7,Accept,No,42,10
187,Master,Married,69245.0,0,1,8,428,30,214,80,30,61,2,6,5,10,3,Refuse,No,68,10
188,PhD,Divorced,72968.0,0,0,8,1092,37,592,145,37,55,1,5,5,8,3,Accept,No,61,11
189,Graduation,Married,48686.0,1,2,8,10,0,7,2,0,1,1,1,0,2,8,Refuse,No,71,11
190,Graduation,Married,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,Accept,No,34,11
191,PhD,Single,82716.0,0,0,8,606,148,228,15,148,22,1,6,8,13,2,Refuse,No,80,11
192,2n Cycle,Married,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,Refuse,No,43,11
193,PhD,Divorced,60554.0,1,0,8,588,7,76,110,15,15,2,8,4,9,6,Refuse,No,49,11
194,Graduation,Married,64090.0,0,1,8,316,58,161,76,51,135,1,6,9,4,5,Accept,No,68,11
195,Graduation,Single,61559.0,0,1,8,279,83,88,32,14,34,1,4,2,10,3,Refuse,No,59,11
196,PhD,Widow,71670.0,0,0,8,1462,16,128,0,0,160,1,5,3,6,6,Accept,No,62,11
197,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,Refuse,No,73,11
198,Graduation,Married,54386.0,0,1,8,277,21,64,62,21,25,2,3,2,10,3,Refuse,No,43,11
199,PhD,Single,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,Refuse,No,71,11
200,PhD,Married,69702.0,0,1,8,664,9,240,50,19,57,2,7,7,10,4,Refuse,No,73,11
201,Graduation,Single,47958.0,0,1,8,268,11,88,15,3,22,2,6,3,5,5,Refuse,No,72,11
202,Graduation,Married,67716.0,0,1,8,530,142,217,62,9,56,4,7,4,13,5,Refuse,No,64,11
203,Graduation,Married,34600.0,1,1,8,199,33,60,8,3,15,5,5,2,5,8,Accept,No,53,11
205,Graduation,Married,48752.0,1,1,8,73,57,100,71,15,0,5,6,1,5,9,Accept,No,55,12
206,2n Cycle,Married,15716.0,1,0,8,16,5,30,8,7,26,3,3,0,4,8,Refuse,Yes,36,12
207,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,Accept,No,72,12
208,Graduation,Married,74985.0,0,0,8,587,51,898,247,0,86,1,3,6,7,2,Refuse,No,47,12
209,PhD,Single,45576.0,0,0,9,56,19,29,2,14,25,1,3,1,3,8,Accept,No,79,10
210,PhD,Single,113734.0,0,0,9,6,2,3,1,262,3,0,27,0,0,1,Refuse,No,79,10
211,Graduation,Single,57100.0,1,0,9,158,11,99,15,11,17,2,3,2,7,3,Refuse,No,37,10
212,Graduation,Married,24434.0,2,0,9,3,2,8,20,0,17,2,2,1,2,7,Refuse,No,52,10
213,PhD,Married,37126.0,1,0,9,45,3,9,4,4,7,1,1,2,2,6,Accept,No,53,10
214,Graduation,Single,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,Refuse,No,66,10
215,Graduation,Married,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,Refuse,No,47,10
216,Master,Widow,64866.0,0,1,9,508,5,21,7,5,10,4,7,3,7,5,Refuse,No,74,10
217,Master,Married,34176.0,0,1,9,11,2,7,4,2,2,1,1,0,3,3,Refuse,No,49,10
218,Master,Single,50014.0,1,0,9,234,14,77,19,10,42,2,4,1,8,5,Refuse,No,56,10
219,Graduation,Married,92344.0,0,0,9,992,24,694,51,19,119,0,5,10,5,1,Refuse,No,76,10
220,Master,Divorced,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,Refuse,No,54,11
221,PhD,Divorced,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,Refuse,No,61,11
222,PhD,Married,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,Accept,No,42,11
224,Master,Single,39763.0,1,0,9,80,1,60,4,6,16,2,5,1,2,9,Accept,No,53,11
225,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,Refuse,No,49,11
226,Graduation,Single,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,Accept,No,59,11
227,Graduation,Married,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,Refuse,No,80,11
228,Graduation,Married,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,Refuse,No,63,11
229,Master,Married,43776.0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,Accept,No,72,11
230,Graduation,Married,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,Accept,No,59,11
231,Graduation,Married,65148.0,0,1,9,460,35,422,33,12,153,2,6,6,7,4,Refuse,No,66,12
232,Graduation,Divorced,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,Refuse,No,69,12
233,PhD,Married,32583.0,1,1,10,5,0,3,0,0,1,1,1,0,2,7,Refuse,No,63,10
234,Master,Single,16653.0,1,0,10,5,7,31,15,4,7,3,2,1,3,6,Accept,No,45,10
235,2n Cycle,Married,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,Refuse,No,53,10
236,Graduation,Married,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,Refuse,No,56,10
237,2n Cycle,Married,43050.0,1,0,10,30,5,24,6,3,8,2,2,0,4,5,Refuse,No,51,10
238,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,Refuse,No,55,10
239,Basic,Married,17256.0,1,0,10,6,4,14,8,8,22,2,2,1,2,8,Refuse,No,32,11
240,Graduation,Single,86429.0,0,0,10,464,28,873,29,18,37,0,7,4,7,2,Accept,No,63,11
241,PhD,Married,33569.0,1,0,10,16,2,18,3,0,24,1,1,1,2,8,Accept,No,41,11
242,2n Cycle,Married,25130.0,1,0,10,2,5,7,0,18,18,2,2,0,3,7,Refuse,No,44,11
243,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,Refuse,No,72,11
244,2n Cycle,Married,26907.0,1,1,10,9,1,7,0,3,2,2,1,0,3,7,Refuse,No,48,11
246,PhD,Married,45579.0,0,1,10,145,1,33,2,1,1,1,4,1,4,6,Refuse,No,76,11
247,Graduation,Married,47320.0,0,1,10,200,19,111,50,15,19,6,5,1,8,6,Refuse,No,67,11
248,PhD,Divorced,70179.0,0,1,10,532,88,168,69,44,133,3,7,3,13,5,Refuse,No,48,11
250,Master,Married,28072.0,1,0,10,30,0,10,2,0,5,1,1,0,3,7,Refuse,No,38,11
251,Graduation,Married,50501.0,1,1,10,297,0,38,13,0,152,7,5,4,4,6,Accept,No,70,11
252,Graduation,Married,58917.0,1,2,10,151,7,89,0,7,28,5,4,1,6,5,Refuse,No,55,11
253,Graduation,Married,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,Accept,No,75,11
254,Master,Married,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,Accept,No,53,11
256,Graduation,Divorced,75693.0,0,0,10,797,153,293,72,97,30,1,11,4,6,4,Accept,No,56,12
257,Graduation,Married,69109.0,0,0,10,823,25,459,124,29,95,1,6,6,7,4,Accept,No,42,12
259,Graduation,Married,80134.0,0,0,11,966,26,282,52,26,26,1,2,7,11,5,Refuse,No,30,10
260,Graduation,Divorced,64713.0,1,0,11,180,60,241,13,54,54,2,5,5,7,4,Accept,No,54,10
261,Graduation,Divorced,41411.0,0,0,11,37,32,38,11,3,18,1,2,1,4,6,Refuse,No,38,11
262,Graduation,Married,52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,Refuse,No,41,11
263,PhD,Single,55521.0,1,2,11,416,0,26,0,0,4,9,6,3,6,7,Accept,No,69,11
264,Master,Married,43795.0,0,1,11,314,11,53,4,3,107,3,7,3,4,7,Accept,No,56,11
265,Graduation,Married,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,Refuse,No,54,11
266,Master,Married,36408.0,1,1,11,9,1,4,3,2,3,1,1,0,2,6,Refuse,No,75,11
267,Graduation,Married,34026.0,1,1,11,18,6,15,12,8,17,3,2,1,3,5,Refuse,No,74,11
269,Graduation,Married,46049.0,1,1,11,342,9,112,19,14,19,10,5,2,9,7,Accept,No,48,11
270,Master,Married,35641.0,1,0,11,63,3,67,8,9,28,2,3,1,4,7,Accept,No,52,11
271,2n Cycle,Married,32414.0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,Refuse,No,40,11
272,PhD,Married,59821.0,0,1,11,629,0,70,0,0,35,6,11,2,7,8,Refuse,No,69,11
273,Graduation,Married,34968.0,1,0,11,158,6,45,8,2,2,7,3,2,5,7,Refuse,No,44,11
274,PhD,Married,56320.0,0,1,11,201,53,172,116,77,83,3,5,4,9,4,Refuse,No,57,11
